,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,decade
2224,URN:NBN:no-nb_digibok_2012032838008,Bryggens beste menyer,"Skogseth , Arvid",oai:nb.bibsys.no:998820319104702202,a0e337460a7ef28c8efdaea1e9f797bf,8202091837,[Oslo],19870101,1987,Cappelen,nob,kokebøker,641.594841,,Faglitteratur,digibok,1980
2225,URN:NBN:no-nb_digibok_2009031000064,Grete Roedes beste oppskrifter,"Roede , Grete",oai:nb.bibsys.no:999912557714702202,d5947af33824f2773218adc6f979bde9,8248900002,Oslo,19990101,1999,Familievennen forl.,nob,kokebøker / slankekost,641.563,,Faglitteratur,digibok,1990
2226,URN:NBN:no-nb_digibok_2018082748042,Fristelser,"Gran-Jansen , Ida / Hensley , Nina Dreyer / Hensley , Jim",oai:nb.bibsys.no:991420726564702202,811fbef077492afa07f9b4f88ccc5ee2,,[Oslo],20140101,2014,Gyldendal,nob,,641.815 / 641.5,,Faglitteratur,digibok,2010
2227,URN:NBN:no-nb_digibok_2009033104043,Enkelt & perfekt : bagateller for alle,"Hellstrøm , Eyvind / Strand , Ragge / Eriksen , Sune",oai:nb.bibsys.no:990224543304702202,c94288bcca9ee06a235442e346d1ddc9,8279001395 / 8252544908,Oslo,20020101,2002,Pantagruel,nob,kokebøker / matoppskrifter / matlaging / bagatelle,641.5,,Faglitteratur,digibok,2000
2228,URN:NBN:no-nb_digibok_2018021909551,Smashing good,"Bærheim , Trym / Kalgraff , Bodil / Nesse , Magnus Østrem / Kolstad , Kristoffer",oai:nb.bibsys.no:991009468524702202,7d7dc6f996c269b72b502106f1e89c46,,[Stavanger],20100101,2010,Smashing Good Production,nob,,641.5,,Faglitteratur,digibok,2010
2229,URN:NBN:no-nb_digibok_2011021108020,"Hettgjort på stusse : norsk tradisjonsmat, - med glimt i øyet og knute på tunga","Myhre , Unni Kaupang",oai:nb.bibsys.no:999824574804702202,f22b770b60f2bb9c752ce70553f03060,8299475309,,19980101,1998,Norges bondekvinnelag,nno,Etnologi / Mat / Tradisjoner / kokebøker / norsk / mat,,,Faglitteratur,digibok,1990
2230,URN:NBN:no-nb_digibok_2020012307026,Den lille juleboken : en guide til hjemmelaget julemat,"Belgum , Tore / Ådland , Ståle",oai:nb.bibsys.no:991400353384702202,63d17231fd49408ab2e8e61844327d62,,[Oslo],20130101,2013,Rico catering Belgum,nob,kokebøker / jul,641.568,,Faglitteratur,digibok,2010
2231,URN:NBN:no-nb_digibok_2018103007030,Kokken Trym : en kokebok for barn,"Sibeko , Trym Johnsen / Brun , Morten",oai:nb.bibsys.no:991421052284702202,b258bf5172661322d9e3ebb113451975,,Oslo,20140101,2014,Kagge,nob,matlaging / barn / oppskrifter / kokebøker / barnebøker / faktabøker,641.512 / 641.5123,,Faglitteratur,digibok,2010
2232,URN:NBN:no-nb_digibok_2017082148069,Pasta,"Tesio , Helle / Tesio , Alfredo / Langballe , Kjersti",oai:nb.bibsys.no:990001779034702202,d520424791026764cee520d7d8e93e76,8275221684,,19990101,1999,Tell forl.,nob / dan,kokebøker / matoppskrifter / italia,641.82,,Faglitteratur,digibok,1990
2233,URN:NBN:no-nb_digibok_2021020405017,Ung & sulten : kokebok,"Hunskaar , Brynhild / Gudim , Bård / Thomassen , Ingeborg / Støvne , Anita Myklebust / Hjønnevåg , Elisabeth / Kaarud , Erling",oai:nb.bibsys.no:990416544634702202,2047bd2f985ac5addf4cae50fe611833,8252554784 / 8205330255,[Oslo],20040101,2004,Gyldendal,nob,Kokebøker / kokebøker / matlaging / barn,641.512,,Faglitteratur,digibok,2000
